PROCESS,timestamp,LOTID,c_angle,e_angle
EC03B_SOI,2020-06-03 06:55:33,unknown_lot,89.304370619,89.25389195950001
AD04B_SOI,2020-06-03 07:19:59,unknown_lot,88.940372278,89.255571949
AD05B_SOI,2020-06-03 08:11:52,unknown_lot,88.622374955,88.54432341399998
EC03B_SOI,2020-06-10 06:27:20,unknown_lot,89.034027208,89.282126817
AD05B_SOI,2020-06-10 06:33:49,unknown_lot,88.49503135749998,88.77642554100002
AD04B_SOI,2020-06-17 07:42:27,unknown_lot,89.158072856,89.434818312
AD05B_SOI,2020-06-18 07:18:06,unknown_lot,88.526896475,88.67966586799999
EC03B_SOI,2020-06-18 17:59:25,unknown_lot,88.528413001,88.54748899100002
AD05B_SOI,2020-06-20 10:06:50,unknown_lot,88.528413001,88.909991033
AD04B_SOI,2020-06-20 20:10:26,unknown_lot,88.661951747,88.909991033
EC03B_SOI,2020-06-20 20:31:05,unknown_lot,88.528413001,88.65241275
EC03B_SOI,2020-06-21 08:33:42,unknown_lot,88.528413001,88.65241275
EC03B_SOI,2020-06-27 08:24:09,unknown_lot,88.31860023,88.40388104200001
AD04B_SOI,2020-06-27 16:48:20,unknown_lot,88.909426148,88.783207305
AD05B_SOI,2020-06-27 16:59:02,unknown_lot,88.53147521700001,88.657217921
AD04B_SOI,2020-06-28 07:33:52,unknown_lot,89.034027208,89.167615188
AD05B_SOI,2020-06-29 06:48:37,unknown_lot,88.537950954,88.661951747
EC03B_SOI,2020-06-30 12:59:51,unknown_lot,88.783207305,88.530009694
AD04B_SOI,2020-07-06 09:56:15,unknown_lot,88.919531915,89.29192070399998
AD04B_SOI,2020-07-07 06:54:30,unknown_lot,89.167615188,89.282126817
EC03B_SOI,2020-07-07 07:03:15,unknown_lot,88.537950954,88.661951747
AD04B_SOI,2020-07-07 08:48:21,unknown_lot,89.15748143,89.406187931
AD04B_SOI,2020-07-07 08:55:47,unknown_lot,89.92161106299999,89.921569759
EC03B_SOI,2020-07-07 09:08:33,unknown_lot,89.414891254,89.539798874
EC03B_SOI,2020-07-07 09:13:51,unknown_lot,88.77515673299999,88.784706216
EC03B_SOI,2020-07-07 09:17:19,unknown_lot,89.291669741,89.291669741
AD04B_SOI,2020-07-07 12:44:16,unknown_lot,88.89873172850002,89.19496770049999
AD04B_SOI,2020-07-07 13:15:15,unknown_lot,89.071220876,89.071220876
AD05B_SOI,2020-07-09 17:14:28,unknown_lot,89.16148375700001,89.666068867
EC03B_SOI,2020-07-13 09:04:05,unknown_lot,89.291669741,89.539798874
AD05B_SOI,2020-07-15 08:44:51,unknown_lot,88.567549291,88.634274584
AD05B_SOI,2020-07-15 08:53:04,unknown_lot,88.701003703,88.796337295
EC03B_SOI,2020-07-17 16:43:56,unknown_lot,88.786803616,88.95660836799999
AD05B_SOI,2020-07-21 07:40:17,unknown_lot,88.909991033,89.034027208
AD04B_SOI,2020-07-21 15:05:38,unknown_lot,88.38535408700001,88.404427453
AD04B_SOI,2020-07-22 15:53:58,unknown_lot,89.291669741,89.406187931
AD04B_SOI,2020-07-23 14:17:54,unknown_lot,88.782060296,88.656991459
EC03B_SOI,2020-07-23 14:38:21,unknown_lot,89.414299841,89.540562382
AD05B_SOI,2020-07-25 10:06:29,unknown_lot,89.16666095299999,89.287852566
AD05B_SOI,2020-07-25 10:08:08,unknown_lot,89.16666095299999,89.287852566
AD04B_SOI,2020-07-28 08:55:44,unknown_lot,88.52824473,88.654783521
EC03B_SOI,2020-07-30 12:09:59,unknown_lot,89.167615188,89.167615188
AD05B_SOI,2020-07-30 12:15:15,unknown_lot,88.785965494,89.034027208
AD05B_SOI,2020-08-05 12:03:29,unknown_lot,89.034027208,89.034027208
EC03B_SOI,2020-08-05 12:14:12,unknown_lot,89.158072856,89.167615188
EC03B_SOI,2020-08-12 07:54:31,unknown_lot,89.281363385,89.166737291
AD05B_SOI,2020-08-12 08:10:33,unknown_lot,88.910368983,89.014600808
EC03B_SOI,2020-08-17 10:03:40,unknown_lot,89.291669741,89.291669741
AD05B_SOI,2020-08-17 10:09:51,unknown_lot,88.909991033,88.909991033
AD04B_SOI,2020-08-25 07:22:33,unknown_lot,89.234412845,89.244489056
EC03B_SOI,2020-08-25 08:49:44,unknown_lot,88.528413001,88.690569197
AD05B_SOI,2020-08-27 07:13:30,unknown_lot,89.13717350600002,89.158072856
AD05B_SOI,2020-09-02 06:31:48,unknown_lot,89.158072856,89.27206879399998
AD04B_SOI,2020-09-02 06:37:07,unknown_lot,89.48253628399998,89.54934274
AD05B_SOI,2020-09-02 10:47:33,unknown_lot,89.12853011,89.386442697
AD04B_SOI,2020-09-07 07:15:44,unknown_lot,89.19454220899998,89.37622047
AD05B_SOI,2020-09-07 16:45:33,unknown_lot,89.19539319200001,89.31957348700001
EC03B_SOI,2020-09-12 05:44:21,unknown_lot,89.443158151,89.26147451
AD04B_SOI,2020-09-12 06:27:06,unknown_lot,88.831240625,89.318846762
AD05B_SOI,2020-09-14 10:21:24,unknown_lot,88.888598296,89.13717350600002
AD04B_SOI,2020-09-18 02:14:58,unknown_lot,89.25191261799999,89.443158151
AD05B_SOI,2020-09-18 16:33:42,unknown_lot,88.831240625,89.079806623
AD05B_SOI,2020-09-24 15:37:43,unknown_lot,89.079806623,89.26147451
AD04B_SOI,2020-09-29 12:09:32,unknown_lot,89.262258587,89.50107970200001
EC03B_SOI,2020-10-03 06:53:00,unknown_lot,89.31860419700001,89.997830799
AD04B_SOI,2020-10-05 12:47:31,unknown_lot,88.46961339799999,88.46961339799999
AD04B_SOI,2020-10-05 12:53:02,unknown_lot,89.79699456700001,89.37622047
AD04B_SOI,2020-10-05 17:35:36,unknown_lot,89.309284616,89.557912181
EC03B_SOI,2020-10-08 11:23:57,unknown_lot,89.079806623,89.385782889
AD04B_SOI,2020-10-12 13:10:38,unknown_lot,89.262258587,89.50107970200001
EC03B_SOI,2020-10-13 18:16:24,unknown_lot,89.13717350600002,89.68223343
AD04B_SOI,2020-10-18 16:11:16,unknown_lot,88.831240625,89.567475206
EC03B_SOI,2020-10-18 16:35:32,unknown_lot,89.37622047,89.68223343
EC03B_SOI,2020-10-23 17:56:31,unknown_lot,89.12761223,89.443158151
AD04B_SOI,2020-10-27 01:38:45,unknown_lot,89.37622047,89.68223343
EC03B_SOI,2020-10-31 14:34:39,unknown_lot,89.19454220899998,89.50053462
EC03B_SOI,2020-10-31 15:27:52,unknown_lot,89.443158151,89.61529072
EC03B_SOI,2020-11-05 03:19:16,unknown_lot,89.50053462,89.921321352
AD04B_SOI,2020-11-05 03:25:50,unknown_lot,89.567475206,89.806558097
AD04B_SOI,2020-11-05 07:18:45,unknown_lot,89.337498651,89.634142493
EC03B_SOI,2020-11-05 09:04:28,unknown_lot,89.337498651,89.720269732
EC03B_SOI,2020-11-08 10:53:49,unknown_lot,89.013913591,89.44376059700001
AD04B_SOI,2020-11-08 10:59:53,unknown_lot,88.70831235600002,89.491526439
AD04B_SOI,2020-11-10 06:29:45,unknown_lot,89.07284191,89.56715590600002
